Country/Region,Continent,Population,TotalTests,Tests/1M pop,Tot Cases/1M pop,Deaths/1M pop,"Serious,Critical"
Cameroon,Africa,26606188.0,149000.0,5600.0,666.0,15.0,30.0
Ivory Coast,Africa,26437950.0,104584.0,3956.0,622.0,4.0,534.3934426229508
S. Korea,Asia,51273732.0,1613652.0,31471.0,283.0,6.0,18.0
Denmark,Europe,5794279.0,1654512.0,285542.0,2469.0,106.0,2.0
Palestine,Asia,5112340.0,200280.0,39176.0,2621.0,18.0,534.3934426229508
Bosnia and Herzegovina,Europe,3278650.0,147021.0,44842.0,4086.0,117.0,534.3934426229508
Bulgaria,Europe,6942854.0,294087.0,42358.0,1874.0,63.0,47.0
Madagascar,Africa,27755708.0,46301.0,1668.0,451.0,5.0,88.0
Sudan,Africa,43943536.0,401.0,9.0,268.0,17.0,534.3934426229508
North Macedonia,Europe,2083365.0,109946.0,52773.0,5471.0,248.0,3.0
Senegal,Africa,16783877.0,114761.0,6838.0,638.0,13.0,33.0
Norway,Europe,5425471.0,472841.0,87152.0,1745.0,47.0,3.0
DRC,Africa,89802183.0,1402404.7015706806,83959.3664921466,104.0,2.0,534.3934426229508
Malaysia,Asia,32406372.0,991333.0,30591.0,279.0,4.0,2.0
French Guiana,South America,299385.0,41412.0,138324.0,27146.0,157.0,23.0
Gabon,Africa,2230563.0,85369.0,38272.0,3491.0,23.0,11.0
Tajikistan,Asia,9557468.0,1402404.7015706806,83959.3664921466,802.0,6.0,534.3934426229508
Guinea,Africa,13164905.0,14407.0,1094.0,582.0,4.0,24.0
Haiti,North America,11416103.0,18443.0,1616.0,661.0,15.0,534.3934426229508
